year,summary_name,dimension_code,dimension_description,activity_type,aggregation_type,measure_category,measure_sub_category,measure_value,suppressed_flag,gender_dq_flag
2012-13,DiagnosisPrimary4Char,F90.1,Hyperkinetic conduct disorder,FCE,Count,Gender,Female,7,NA,NA
2012-13,DiagnosisPrimary4Char,F90.1,Hyperkinetic conduct disorder,FCE,Count,Gender,Unknown,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.1,Hyperkinetic conduct disorder,FCE,Count,Age,0,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.1,Hyperkinetic conduct disorder,FCE,Count,Age,1_4,4,NA,NA
2012-13,DiagnosisPrimary4Char,F90.1,Hyperkinetic conduct disorder,FCE,Count,Age,5_9,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.1,Hyperkinetic conduct disorder,FCE,Count,Age,10_14,1,NA,NA
2012-13,DiagnosisPrimary4Char,F90.1,Hyperkinetic conduct disorder,FCE,Count,Age,15,1,NA,NA
2012-13,DiagnosisPrimary4Char,F90.1,Hyperkinetic conduct disorder,FCE,Count,Age,16,5,NA,NA
2012-13,DiagnosisPrimary4Char,F90.1,Hyperkinetic conduct disorder,FCE,Count,Age,17,1,NA,NA
2012-13,DiagnosisPrimary4Char,F90.1,Hyperkinetic conduct disorder,FCE,Count,Age,18,2,NA,NA
2012-13,DiagnosisPrimary4Char,F90.1,Hyperkinetic conduct disorder,FCE,Count,Age,19,1,NA,NA
2012-13,DiagnosisPrimary4Char,F90.1,Hyperkinetic conduct disorder,FCE,Count,Age,20_24,2,NA,NA
2012-13,DiagnosisPrimary4Char,F90.1,Hyperkinetic conduct disorder,FCE,Count,Age,25_29,2,NA,NA
2012-13,DiagnosisPrimary4Char,F90.1,Hyperkinetic conduct disorder,FCE,Count,Age,30_34,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.1,Hyperkinetic conduct disorder,FCE,Count,Age,35_39,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.1,Hyperkinetic conduct disorder,FCE,Count,Age,40_44,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.1,Hyperkinetic conduct disorder,FCE,Count,Age,45_49,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.1,Hyperkinetic conduct disorder,FCE,Count,Age,50_54,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.1,Hyperkinetic conduct disorder,FCE,Count,Age,55_59,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.1,Hyperkinetic conduct disorder,FCE,Count,Age,60_64,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.1,Hyperkinetic conduct disorder,FCE,Count,Age,65_69,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.1,Hyperkinetic conduct disorder,FCE,Count,Age,70_74,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.1,Hyperkinetic conduct disorder,FCE,Count,Age,75_79,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.1,Hyperkinetic conduct disorder,FCE,Count,Age,80_84,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.1,Hyperkinetic conduct disorder,FCE,Count,Age,85_89,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.1,Hyperkinetic conduct disorder,FCE,Count,Age,90+,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.8,Other hyperkinetic disorders,FCE,Count,Gender,Male,1,NA,NA
2012-13,DiagnosisPrimary4Char,F90.8,Other hyperkinetic disorders,FCE,Count,Gender,Female,1,NA,NA
2012-13,DiagnosisPrimary4Char,F90.8,Other hyperkinetic disorders,FCE,Count,Gender,Unknown,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.8,Other hyperkinetic disorders,FCE,Count,Age,0,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.8,Other hyperkinetic disorders,FCE,Count,Age,1_4,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.8,Other hyperkinetic disorders,FCE,Count,Age,5_9,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.8,Other hyperkinetic disorders,FCE,Count,Age,10_14,1,NA,NA
2012-13,DiagnosisPrimary4Char,F90.8,Other hyperkinetic disorders,FCE,Count,Age,15,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.8,Other hyperkinetic disorders,FCE,Count,Age,16,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.8,Other hyperkinetic disorders,FCE,Count,Age,17,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.8,Other hyperkinetic disorders,FCE,Count,Age,18,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.8,Other hyperkinetic disorders,FCE,Count,Age,19,1,NA,NA
2012-13,DiagnosisPrimary4Char,F90.8,Other hyperkinetic disorders,FCE,Count,Age,20_24,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.8,Other hyperkinetic disorders,FCE,Count,Age,25_29,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.8,Other hyperkinetic disorders,FCE,Count,Age,30_34,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.8,Other hyperkinetic disorders,FCE,Count,Age,35_39,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.8,Other hyperkinetic disorders,FCE,Count,Age,40_44,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.8,Other hyperkinetic disorders,FCE,Count,Age,45_49,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.8,Other hyperkinetic disorders,FCE,Count,Age,50_54,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.8,Other hyperkinetic disorders,FCE,Count,Age,55_59,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.8,Other hyperkinetic disorders,FCE,Count,Age,60_64,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.8,Other hyperkinetic disorders,FCE,Count,Age,65_69,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.8,Other hyperkinetic disorders,FCE,Count,Age,70_74,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.8,Other hyperkinetic disorders,FCE,Count,Age,75_79,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.8,Other hyperkinetic disorders,FCE,Count,Age,80_84,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.8,Other hyperkinetic disorders,FCE,Count,Age,85_89,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.8,Other hyperkinetic disorders,FCE,Count,Age,90+,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Gender,Male,36,NA,NA
2012-13,DiagnosisPrimary4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Gender,Female,11,NA,NA
2012-13,DiagnosisPrimary4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Gender,Unknown,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,0,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,1_4,3,NA,NA
2012-13,DiagnosisPrimary4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,5_9,3,NA,NA
2012-13,DiagnosisPrimary4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,10_14,8,NA,NA
2012-13,DiagnosisPrimary4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,15,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,16,2,NA,NA
2012-13,DiagnosisPrimary4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,17,0,NA,NA
2012-13,DiagnosisPrimary4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,18,4,NA,NA
2012-13,DiagnosisPrimary4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,19,1,NA,NA
2012-13,DiagnosisPrimary4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,20_24,9,NA,NA
2012-13,DiagnosisPrimary4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,25_29,5,NA,NA
2012-13,DiagnosisPrimary4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,30_34,3,NA,NA
2012-13,DiagnosisPrimary4Char,F90.9,"Hyperkinetic disorder, unspecified",FCE,Count,Age,35_39,0,NA,NA
